oracle_call,neural_reward,blind_reward,single_reward,neural_silent,blind_silent
595,261.500,63.000,40.000,0,0
596,262.000,63.000,40.000,0,0
597,262.500,63.000,40.000,0,0
598,263.000,63.000,40.000,0,0
599,263.500,63.500,40.500,0,0
600,264.000,63.500,40.500,0,0
601,264.500,64.000,41.000,0,0
602,265.000,64.000,41.500,0,0
603,265.500,64.000,41.500,0,0
604,266.000,64.500,41.500,0,0
605,266.500,64.500,41.500,0,0
606,267.000,65.000,41.500,0,0
607,267.500,65.000,41.500,0,0
608,268.000,65.000,41.500,0,0
609,268.500,65.000,42.000,0,0
610,269.000,65.500,42.000,0,0
611,269.500,65.500,42.000,0,0
612,270.000,65.500,42.000,0,0
613,270.500,66.000,42.500,0,0
614,271.000,66.500,42.500,0,0
615,271.500,67.000,42.500,0,0
616,272.000,67.000,42.500,0,0
617,272.500,67.000,42.500,0,0
618,273.000,67.500,42.500,0,0
619,273.500,67.500,42.500,0,0
620,274.000,67.500,42.500,0,0
621,274.500,67.500,42.500,0,0
622,275.000,67.500,42.500,0,0
623,275.500,67.500,42.500,0,0
624,276.000,67.500,42.500,0,0
625,276.500,67.500,42.500,0,0
626,277.000,67.500,42.500,0,0
627,277.500,67.500,42.500,0,0
628,278.000,67.500,42.500,0,0
629,278.500,67.500,42.500,0,0
630,279.000,68.000,42.500,0,0
631,279.500,68.000,42.500,0,0
632,280.000,68.500,43.000,0,0
633,280.500,68.500,43.000,0,0
634,281.000,68.500,43.000,0,0
635,281.500,68.500,43.500,0,0
636,281.500,68.500,43.500,0,0
637,282.000,68.500,43.500,0,0
638,282.500,68.500,43.500,0,0
639,283.000,68.500,43.500,0,0
640,283.500,68.500,43.500,0,0
641,284.000,68.500,43.500,0,0
642,284.500,68.500,43.500,0,0
643,285.000,68.500,43.500,0,0
644,285.500,69.000,43.500,0,0
645,286.000,69.500,43.500,0,0
646,286.500,69.500,43.500,0,0
647,287.000,70.000,43.500,0,0
648,287.500,70.500,43.500,0,0
649,288.000,70.500,43.500,0,0
650,288.500,71.000,43.500,0,0
651,289.000,71.000,43.500,0,0
652,289.500,71.000,43.500,0,0
653,290.000,71.000,44.000,0,0
654,290.500,71.000,44.000,0,0
655,291.000,71.000,44.000,0,0
656,291.500,71.000,44.000,0,0
657,292.000,71.000,44.000,0,0
658,292.500,71.000,44.000,0,0
659,293.000,71.000,44.000,0,0
660,293.500,71.000,44.500,0,0
661,294.000,71.000,44.500,0,0
662,294.500,71.000,44.500,0,0
663,295.000,71.500,44.500,0,0
664,295.500,71.500,44.500,0,0
665,296.000,71.500,44.500,0,0
666,296.500,71.500,44.500,0,0
667,297.000,71.500,44.500,0,0
668,297.500,71.500,44.500,0,0
669,298.000,71.500,44.500,0,0
670,298.500,71.500,45.000,0,0
671,299.000,71.500,45.000,0,0
672,299.500,72.000,45.000,0,0
673,300.000,72.000,45.000,0,0
674,300.500,72.500,45.000,0,0
675,300.500,72.500,45.000,0,0
676,301.000,72.500,45.000,0,0
677,301.500,72.500,45.000,0,0
678,302.000,72.500,45.000,0,0
679,302.500,73.000,45.000,0,0
680,303.000,73.500,45.000,0,0
681,303.500,73.500,45.000,0,0
682,304.000,74.000,45.000,0,0
683,304.500,74.000,45.500,0,0
684,305.000,74.000,46.000,0,0
685,305.500,74.000,46.000,0,0
686,306.000,74.000,46.000,0,0
687,306.500,74.000,46.500,0,0
688,307.000,74.000,46.500,0,0
689,307.500,74.000,46.500,0,0
690,308.000,74.000,46.500,0,0
691,308.500,74.000,46.500,0,0
692,309.000,74.000,46.500,0,0
693,309.500,74.000,46.500,0,0
694,310.000,74.000,46.500,0,0
695,310.500,74.000,46.500,0,0
696,311.000,74.000,46.500,0,0
697,311.500,74.000,46.500,0,0
698,312.000,74.500,46.500,0,0
699,312.500,74.500,46.500,0,0
700,313.000,75.000,46.500,0,0
701,313.500,75.000,46.500,0,0
702,314.000,75.500,46.500,0,0
703,314.500,75.500,46.500,0,0
704,315.000,76.000,47.000,0,0
705,315.500,76.000,47.000,0,0
706,316.000,76.000,47.000,0,0
707,316.500,76.000,47.000,0,0
708,317.000,76.000,47.000,0,0
709,317.500,76.000,47.000,0,0
710,318.000,76.000,47.000,0,0
711,318.500,76.500,47.000,0,0
712,319.000,76.500,47.500,0,0
713,319.500,76.500,47.500,0,0
714,320.000,76.500,47.500,0,0
715,320.500,76.500,48.000,0,0
716,321.000,76.500,48.500,0,0
717,321.500,76.500,48.500,0,0
718,322.000,76.500,48.500,0,0
719,322.500,77.000,48.500,0,0
720,323.000,77.000,48.500,0,0
721,323.500,77.000,49.000,0,0
722,324.000,77.500,49.500,0,0
723,324.500,77.500,49.500,0,0
724,325.000,77.500,49.500,0,0
725,325.500,77.500,50.000,0,0
726,326.000,78.000,50.000,0,0
727,326.500,78.000,50.000,0,0
728,327.000,78.500,50.000,0,0
729,327.500,78.500,50.000,0,0
730,328.000,78.500,50.000,0,0
731,328.500,79.000,50.000,0,0
732,329.000,79.000,50.000,0,0
733,329.500,79.000,50.000,0,0
734,330.000,79.000,50.000,0,0
735,330.500,79.000,50.000,0,0
736,331.000,79.000,50.000,0,0
737,331.500,79.000,50.000,0,0
738,332.000,79.500,50.000,0,0
739,332.500,79.500,50.000,0,0
740,333.000,79.500,50.000,0,0
741,333.500,80.000,50.000,0,0
742,334.000,80.500,50.000,0,0
743,334.500,80.500,50.000,0,0
744,335.000,81.000,50.000,0,0
745,335.500,81.000,50.000,0,0
746,336.000,81.000,50.000,0,0
747,336.500,81.000,50.000,0,0
748,336.500,81.000,50.000,0,0
749,337.000,81.000,50.000,0,0
750,337.500,81.000,50.000,0,0
751,338.000,81.500,50.000,0,0
752,338.500,81.500,50.000,0,0
753,339.000,81.500,50.500,0,0
754,339.500,81.500,50.500,0,0
755,340.000,82.000,50.500,0,0
756,340.500,82.000,51.000,0,0
757,341.000,82.500,51.000,0,0
758,341.500,82.500,51.000,0,0
759,342.000,82.500,51.000,0,0
760,342.500,82.500,51.500,0,0
761,343.000,82.500,52.000,0,0
762,343.500,82.500,52.000,0,0
763,344.000,82.500,52.000,0,0
764,344.500,82.500,52.000,0,0
765,345.000,82.500,52.000,0,0
766,345.500,83.000,52.000,0,0
767,346.000,83.000,52.000,0,0
768,346.500,83.000,52.000,0,0
769,347.000,83.000,52.000,0,0
