oracle_call,base_reward,folded_reward
1018,468.000,0.000
1019,468.500,0.000
1020,469.000,0.000
1021,469.500,0.000
1022,470.000,0.000
1023,470.500,0.000
1024,471.000,0.000
1025,471.500,0.000
1026,472.000,0.000
1027,472.500,0.000
1028,473.000,0.000
1029,473.500,0.000
1030,474.000,0.000
1031,474.500,0.000
1032,475.000,0.000
1033,475.500,0.000
1034,476.000,0.000
1035,476.500,0.000
1036,477.000,0.000
1037,477.500,0.000
1038,478.000,0.000
1039,478.500,0.000
1040,479.000,0.000
1041,479.500,0.000
1042,480.000,0.000
1043,480.500,0.000
1044,481.000,0.000
1045,481.500,0.000
1046,482.000,0.000
1047,482.500,0.000
1048,483.000,0.000
1049,483.500,0.000
1050,484.000,0.000
1051,484.500,0.000
1052,485.000,0.000
1053,485.500,0.000
1054,486.000,0.000
1055,486.500,0.000
1056,487.000,0.000
1057,487.500,0.000
1058,488.000,0.000
1059,488.500,0.000
1060,489.000,0.000
1061,489.500,0.000
1062,490.000,0.000
1063,490.500,0.000
1064,491.000,0.000
1065,491.500,0.000
1066,492.000,0.000
1067,492.500,0.000
1068,493.000,0.000
1069,493.500,0.000
1070,494.000,0.000
1071,494.500,0.000
1072,495.000,0.000
1073,495.500,0.000
1074,496.000,0.000
1075,496.500,0.000
1076,497.000,0.000
1077,497.500,0.000
1078,498.000,0.000
1079,498.500,0.000
1080,499.000,0.000
1081,499.500,0.000
1082,500.000,0.000
1083,500.500,0.000
1084,501.000,0.000
1085,501.500,0.000
1086,502.000,0.000
1087,502.500,0.000
1088,502.500,0.000
1089,503.000,0.000
1090,503.500,0.000
1091,504.000,0.000
1092,504.500,0.000
1093,505.000,0.000
1094,505.500,0.000
1095,506.000,0.000
1096,506.500,0.000
1097,507.000,0.000
1098,507.500,0.000
1099,508.000,0.000
1100,508.500,0.000
1101,509.000,0.000
1102,509.500,0.000
1103,510.000,0.000
1104,510.000,0.000
1105,510.500,0.000
1106,511.000,0.000
1107,511.500,0.000
1108,512.000,0.000
1109,512.500,0.000
1110,513.000,0.000
1111,513.500,0.000
1112,514.000,0.000
1113,514.500,0.000
1114,515.000,0.000
1115,515.500,0.000
1116,516.000,0.000
1117,516.500,0.000
1118,517.000,0.000
1119,517.500,0.000
1120,518.000,0.000
1121,518.500,0.000
1122,519.000,0.000
1123,519.500,0.000
1124,520.000,0.000
1125,520.500,0.000
1126,521.000,0.000
1127,521.500,0.000
1128,522.000,0.000
1129,522.500,0.000
1130,523.000,0.000
1131,523.500,0.000
1132,524.000,0.000
1133,524.500,0.000
1134,525.000,0.000
1135,525.500,0.000
1136,526.000,0.000
1137,526.500,0.000
1138,526.500,0.000
1139,527.000,0.000
1140,527.500,0.000
1141,528.000,0.000
1142,528.500,0.000
1143,529.000,0.000
1144,529.500,0.000
1145,530.000,0.000
1146,530.500,0.000
1147,531.000,0.000
1148,531.500,0.000
1149,532.000,0.000
1150,532.500,0.000
1151,533.000,0.000
1152,533.500,0.000
1153,534.000,0.000
1154,534.500,0.000
1155,535.000,0.000
1156,535.500,0.000
1157,536.000,0.000
1158,536.500,0.000
1159,537.000,0.000
1160,537.500,0.000
1161,538.000,0.000
1162,538.500,0.000
1163,539.000,0.000
1164,539.000,0.000
1165,539.500,0.000
1166,540.000,0.000
1167,540.500,0.000
1168,541.000,0.000
1169,541.500,0.000
1170,542.000,0.000
1171,542.500,0.000
1172,543.000,0.000
1173,543.500,0.000
1174,544.000,0.000
1175,544.500,0.000
1176,545.000,0.000
1177,545.500,0.000
1178,546.000,0.000
1179,546.500,0.000
1180,547.000,0.000
1181,547.500,0.000
1182,548.000,0.000
1183,548.000,0.000
1184,548.500,0.000
1185,549.000,0.000
1186,549.500,0.000
1187,550.000,0.000
1188,550.500,0.000
1189,551.000,0.000
1190,551.500,0.000
1191,552.000,0.000
1192,552.500,0.000
1193,553.000,0.000
1194,553.500,0.000
1195,554.000,0.000
1196,554.500,0.000
1197,555.000,0.000
1198,555.500,0.000
1199,556.000,0.000
1200,556.500,0.000
1201,557.000,0.000
1202,557.500,0.000
1203,558.000,0.000
1204,558.500,0.000
1205,559.000,0.000
1206,559.500,0.000
1207,560.000,0.000
1208,560.500,0.000
1209,561.000,0.000
1210,561.500,0.000
1211,562.000,0.000
1212,562.500,0.000
1213,563.000,0.000
1214,563.000,0.000
1215,563.500,0.000
1216,564.000,0.000
1217,564.500,0.000
1218,565.000,0.000
1219,565.500,0.000
1220,566.000,0.000
1221,566.500,0.000
1222,567.000,0.000
1223,567.500,0.000
1224,568.000,0.000
1225,568.500,0.000
1226,569.000,0.000
1227,569.500,0.000
1228,570.000,0.000
1229,570.500,0.000
1230,571.000,0.000
1231,571.500,0.000
1232,572.000,0.000
1233,572.500,0.000
1234,573.000,0.000
1235,573.500,0.000
1236,574.000,0.000
1237,574.500,0.000
1238,575.000,0.000
1239,575.500,0.000
1240,576.000,0.000
1241,576.500,0.000
1242,577.000,0.000
1243,577.500,0.000
1244,578.000,0.000
1245,578.500,0.000
1246,579.000,0.000
1247,579.500,0.000
1248,580.000,0.000
1249,580.500,0.000
1250,581.000,0.000
1251,581.500,0.000
1252,582.000,0.000
1253,582.500,0.000
1254,583.000,0.000
1255,583.500,0.000
1256,584.000,0.000
1257,584.500,0.000
1258,585.000,0.000
1259,585.500,0.000
1260,586.000,0.000
1261,586.500,0.000
1262,587.000,0.000
1263,587.500,0.000
1264,588.000,0.000
1265,588.500,0.000
1266,588.500,0.000
1267,589.000,0.000
1268,589.500,0.000
1269,590.000,0.000
1270,590.500,0.000
1271,591.000,0.000
1272,591.500,0.000
1273,592.000,0.000
1274,592.500,0.000
1275,593.000,0.000
1276,593.500,0.000
1277,594.000,0.000
1278,594.500,0.000
1279,595.000,0.000
1280,595.500,0.000
1281,596.000,0.000
1282,596.500,0.000
1283,597.000,0.000
1284,597.500,0.000
1285,598.000,0.000
1286,598.500,0.000
1287,599.000,0.000
1288,599.500,0.000
1289,600.000,0.000
1290,600.500,0.000
1291,600.500,0.000
1292,601.000,0.000
1293,601.500,0.000
1294,602.000,0.000
1295,602.500,0.000
1296,603.000,0.000
1297,603.500,0.000
1298,604.000,0.000
1299,604.500,0.000
1300,605.000,0.000
1301,605.500,0.000
1302,606.000,0.000
1303,606.500,0.000
1304,607.000,0.000
1305,607.500,0.000
1306,608.000,0.000
1307,608.500,0.000
1308,609.000,0.000
1309,609.500,0.000
1310,610.000,0.000
1311,610.500,0.000
1312,611.000,0.000
1313,611.500,0.000
1314,612.000,0.000
1315,612.500,0.000
1316,613.000,0.000
1317,613.500,0.000
1318,614.000,0.000
1319,614.500,0.000
1320,615.000,0.000
1321,615.500,0.000
1322,616.000,0.000
1323,616.500,0.000
1324,617.000,0.000
1325,617.500,0.000
1326,618.000,0.000
1327,618.500,0.000
1328,619.000,0.000
1329,619.500,0.000
1330,620.000,0.000
1331,620.500,0.000
1332,621.000,0.000
1333,621.500,0.000
1334,622.000,0.000
1335,622.500,0.000
1336,623.000,0.000
1337,623.500,0.000
1338,624.000,0.000
1339,624.500,0.000
1340,625.000,0.000
1341,625.500,0.000
1342,626.000,0.000
1343,626.500,0.000
1344,627.000,0.000
1345,627.500,0.000
1346,628.000,0.000
1347,628.500,0.000
1348,629.000,0.000
1349,629.500,0.000
1350,630.000,0.000
1351,630.500,0.000
1352,631.000,0.000
1353,631.500,0.000
1354,632.000,0.000
1355,632.500,0.000
1356,633.000,0.000
1357,633.500,0.000
